latitud,longitud,property_surface_total,property_surface_covered
-34.5594267,-58.4545843,143.0,87.0
-34.5847875,-58.4052326,31.0,31.0
-34.637388,-58.4473428,42.0,38.0
-34.5823429,-58.4322374,78.0,78.0
-34.6657889,-58.4695858,70.0,60.0
-34.6266525,-58.4905814,35.0,35.0
-34.575764,-58.4949125,41.0,35.0
-34.627275,-58.459282,106.0,106.0
-34.5719132302,-58.4429231701,105.0,96.0
-34.5917953743,-58.4464287758,42.0,38.0
-34.624838,-58.4317838,49.0,45.0
-34.5816495385,-58.5052514078,115.0,110.0
-34.5914155,-58.4470729,121.0,101.0
-34.55498123,-58.45656204,100.0,84.0
-34.573855,-58.42234154,41.0,38.0
-34.5752464,-58.4481178,82.0,44.0
-34.6412786,-58.5204423,34.0,30.0
-34.5925237,-58.3989083,120.0,113.0
-34.6206202,-58.4447926,75.0,68.0
-34.5911859,-58.3995508,28.0,28.0
-34.595472,-58.403536,34.0,33.0
-34.58836866,-58.45418012,37.0,33.0
-34.6172689,-58.3628743,65.0,54.0
-34.6237786,-58.484117,58.0,54.0
-34.5979106695,-58.4419810034,100.0,93.0
-34.6257,-58.5131,83.0,83.0
-34.6063250163,-58.4018741693,77.0,77.0
-34.5562441,-58.4491441,90.0,81.0
-34.5412501,-58.4729664,60.0,50.0
-34.6305104,-58.3979261,66.0,66.0
-34.639063,-58.4399707,160.0,140.0
-34.5913537648,-58.4117746353,87.0,78.0
-34.5762972,-58.4199965,276.0,276.0
-34.6146708,-58.4652906,100.0,85.0
-34.5893144066,-58.3949637207,102.0,93.0
-34.564888237,-58.4384773984,122.0,107.0
-34.6292715,-58.3721389,80.0,70.0
-34.65837345,-58.50173703,65.0,53.0
-34.5709776,-58.4584633,33.0,30.0
-34.668016,-58.4820948,109.0,70.0
-34.5947627,-58.3901869,44.0,44.0
-34.5575603,-58.4585313,75.0,75.0
-34.60922726,-58.42174452,170.0,77.0
-34.6090738,-58.4490161,232.0,108.0
-34.5678314,-58.4522354,76.0,66.0
-34.5875891,-58.4183052,31.0,28.0
-34.5943708,-58.3827724,76.0,76.0
-34.5981594,-58.4944099,101.0,79.0
-34.617705,-58.447883,62.0,56.0
-34.6118404357,-58.4143543708,37.0,37.0
-34.6072004,-58.4690493,93.0,81.0
-34.58577819,-58.39492934,137.0,125.0
-34.5857136,-58.4134131,90.0,82.0
-34.6556449,-58.4106292,117.0,117.0
-34.5947933,-58.4417774,48.0,44.0
-34.5929492,-58.4044952,62.0,62.0
-34.6034134,-58.5030393,81.0,67.0
